batter,Runs,Balls,StrikeRate,BoundaryRuns,BoundaryPct,Runs_Scaled,SR_Scaled,Boundary_Scaled,ImpactScore,AggressiveImpact,Cluster
A Badoni,963,695,138.5611510791367,520.0,53.99792315680166,0.1110598546880406,0.3464028776978417,0.5399792315680166,0.2674466369669761,0.31451524156893634,1
A Symonds,974,750,129.86666666666667,542.0,55.64681724845995,0.11232845115903586,0.32466666666666666,0.5564681724845996,0.26485786007643786,0.30732550317796403,1
AB de Villiers,5181,3411,151.8909410729991,3174.0,61.26230457440649,0.5975089378387729,0.3797273526824978,0.6126230457440649,0.5351972838729487,0.4916409668416937,3
AC Gilchrist,2069,1495,138.39464882943145,1508.0,72.88545190913484,0.2386114634990197,0.3459866220735786,0.7288545190913485,0.36887262218985317,0.3903476539047649,0
AD Mathews,724,575,125.91304347826086,350.0,48.34254143646409,0.0834967131818706,0.31478260869565217,0.48342541436464087,0.2328682220725591,0.2791254011753155,1
AD Russell,2655,1525,174.0983606557377,2086.0,78.56873822975517,0.3061930573174951,0.4352459016393443,0.7856873822975516,0.4408077756100611,0.46661834447443107,2
AJ Finch,2092,1635,127.95107033639144,1324.0,63.28871892925431,0.24126398339291893,0.3198776758409786,0.6328871892925431,0.34317273230726164,0.35889547079687356,0
AK Markram,1440,1066,135.08442776735458,786.0,54.58333333333333,0.1660708107484719,0.33771106941838647,0.5458333333333333,0.2935153928664186,0.3278434446004015,1
AM Nayar,672,577,116.46447140381282,340.0,50.595238095238095,0.07749971168262022,0.29116117850953205,0.5059523809523809,0.2272886855846459,0.2700209789500283,1
AM Rahane,5032,4025,125.01863354037268,2798.0,55.60413354531002,0.5803252220043824,0.3125465838509317,0.5560413354531002,0.49513485324809076,0.44157912561740065,3
AR Patel,1916,1430,133.986013986014,1084.0,56.57620041753654,0.22096643985699457,0.334965034965035,0.5657620041753654,0.32412513125308084,0.34692485027468895,1
